#options: 480x852 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:128 out:128 type:B dur:2 cpbdur:2 q:16.44 aq:5.86 tex:15726 mv:2371 misc:671 imb:0 pmb:455 smb:1165 d:s ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:16.46 aq:6.42 tex:519 mv:92 misc:325 imb:0 pmb:24 smb:1596 d:s ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:16.42 aq:6.43 tex:316 mv:36 misc:312 imb:0 pmb:22 smb:1598 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:16.29 aq:4.54 tex:93389 mv:2891 misc:496 imb:11 pmb:562 smb:1047 d:s ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:16.34 aq:6.27 tex:15044 mv:1795 misc:681 imb:0 pmb:433 smb:1187 d:s ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:16.37 aq:11.99 tex:282 mv:83 misc:315 imb:0 pmb:23 smb:1597 d:s ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:16.31 aq:12.05 tex:182 mv:48 misc:266 imb:0 pmb:13 smb:1607 d:- ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:16.40 aq:4.58 tex:84442 mv:2336 misc:574 imb:4 pmb:526 smb:1090 d:s ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:16.34 aq:10.76 tex:657 mv:219 misc:340 imb:0 pmb:31 smb:1589 d:s ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:16.33 aq:4.42 tex:118589 mv:3189 misc:550 imb:16 pmb:538 smb:1066 d:s ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:16.37 aq:6.22 tex:18924 mv:2414 misc:702 imb:1 pmb:415 smb:1204 d:s ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:16.38 aq:7.37 tex:690 mv:248 misc:374 imb:0 pmb:58 smb:1562 d:s ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:16.35 aq:7.42 tex:3734 mv:823 misc:331 imb:0 pmb:66 smb:1554 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:16.32 aq:4.27 tex:119601 mv:3511 misc:528 imb:17 pmb:544 smb:1059 d:s ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:16.32 aq:6.44 tex:24256 mv:3062 misc:666 imb:0 pmb:430 smb:1190 d:s ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:16.33 aq:12.51 tex:3837 mv:958 misc:373 imb:0 pmb:85 smb:1535 d:s ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:16.32 aq:12.37 tex:768 mv:250 misc:422 imb:0 pmb:62 smb:1558 d:- ref:0 ;
in:148 out:145 type:P dur:2 cpbdur:2 q:17.05 aq:4.84 tex:110249 mv:3654 misc:569 imb:38 pmb:522 smb:1060 d:s ref:0 ;
in:146 out:146 type:B dur:2 cpbdur:2 q:16.68 aq:6.35 tex:24423 mv:3146 misc:647 imb:1 pmb:450 smb:1169 d:s ref:0 ;
in:145 out:147 type:b dur:2 cpbdur:2 q:16.50 aq:11.85 tex:350 mv:232 misc:418 imb:0 pmb:56 smb:1564 d:s ref:0 ;
